Year,China,United States,Brazil,Belgium,Czechia,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,Kazakhstan,Russia,Ukraine,Uzbekistan,Argentina,Canada,Chile,Colombia,Mexico,Venezuela,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,India,Australia,New Zealand,Algeria,Egypt,Nigeria,South Africa,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990.0,874.0,1910.0,141.0,48.0,50.0,225.0,351.0,147.0,67.0,103.0,17.0,62.0,90.0,47.0,206.0,21.0,51.0,73.0,879.0,252.0,47.0,44.0,211.0,14.0,24.0,124.0,40.0,99.0,440.0,21.0,94.0,48.0,42.0,306.0,86.0,14.0,22.0,33.0,66.0,90.0,69.0,9.0,58.0,20.0
1991.0,848.0,1925.0,143.0,50.0,45.0,237.0,344.0,150.0,69.0,101.0,17.0,51.0,93.0,49.0,213.0,22.0,51.0,75.0,871.0,252.0,48.0,46.0,210.0,14.0,24.0,130.0,41.0,103.0,445.0,26.0,101.0,52.0,46.0,318.0,85.0,14.0,23.0,33.0,70.0,92.0,77.0,3.0,68.0,23.0
1992.0,877.0,1964.0,145.0,51.0,44.0,234.0,338.0,149.0,69.0,99.0,18.0,46.0,95.0,47.0,213.0,22.0,53.0,79.0,795.0,220.0,45.0,47.0,216.0,15.0,25.0,131.0,46.0,108.0,455.0,29.0,111.0,54.0,49.0,330.0,87.0,14.0,24.0,34.0,72.0,88.0,81.0,9.0,77.0,22.0
1993.0,929.0,1998.0,148.0,49.0,43.0,238.0,335.0,149.0,70.0,101.0,18.0,46.0,91.0,46.0,215.0,24.0,56.0,66.0,751.0,195.0,47.0,48.0,223.0,16.0,26.0,133.0,43.0,119.0,458.0,32.0,125.0,58.0,51.0,338.0,91.0,15.0,24.0,35.0,74.0,94.0,87.0,12.0,80.0,23.0
1994.0,973.0,2036.0,156.0,52.0,41.0,231.0,333.0,147.0,70.0,96.0,18.0,43.0,96.0,50.0,216.0,23.0,56.0,58.0,657.0,166.0,46.0,52.0,231.0,17.0,27.0,136.0,50.0,119.0,483.0,32.0,133.0,60.0,57.0,351.0,91.0,15.0,23.0,34.0,72.0,98.0,97.0,14.0,84.0,26.0
1995.0,1045.0,2063.0,162.0,53.0,42.0,240.0,336.0,159.0,73.0,99.0,20.0,47.0,101.0,50.0,217.0,24.0,61.0,52.0,636.0,164.0,43.0,52.0,234.0,18.0,28.0,132.0,47.0,131.0,495.0,34.0,146.0,63.0,62.0,371.0,93.0,15.0,24.0,36.0,73.0,104.0,101.0,15.0,85.0,28.0
1996.0,1074.0,2108.0,170.0,56.0,43.0,251.0,348.0,159.0,77.0,104.0,20.0,48.0,99.0,51.0,226.0,23.0,66.0,45.0,630.0,150.0,44.0,54.0,239.0,20.0,28.0,135.0,50.0,136.0,506.0,38.0,158.0,67.0,69.0,383.0,99.0,16.0,23.0,38.0,76.0,107.0,98.0,14.0,90.0,29.0
1997.0,1073.0,2130.0,179.0,56.0,43.0,244.0,345.0,162.0,75.0,102.0,21.0,45.0,106.0,50.0,219.0,24.0,70.0,39.0,602.0,144.0,45.0,56.0,242.0,23.0,27.0,142.0,50.0,140.0,511.0,44.0,172.0,71.0,71.0,398.0,101.0,16.0,24.0,40.0,79.0,109.0,109.0,15.0,86.0,31.0
1998.0,1079.0,2148.0,183.0,57.0,42.0,252.0,343.0,166.0,75.0,95.0,23.0,41.0,111.0,51.0,221.0,25.0,71.0,39.0,588.0,136.0,47.0,59.0,240.0,24.0,29.0,146.0,52.0,137.0,502.0,42.0,158.0,75.0,66.0,407.0,104.0,16.0,25.0,42.0,80.0,111.0,111.0,17.0,92.0,32.0
1999.0,1099.0,2206.0,187.0,57.0,39.0,252.0,335.0,169.0,74.0,93.0,24.0,36.0,116.0,50.0,222.0,26.0,70.0,36.0,609.0,135.0,50.0,61.0,247.0,25.0,26.0,150.0,58.0,144.0,510.0,42.0,174.0,79.0,71.0,431.0,106.0,17.0,27.0,43.0,83.0,109.0,126.0,18.0,94.0,32.0
